email,client_member_id,name,cellphone,gender,birthday_year,birthday_month,birthday_date,city,orders.0.order_id,orders.0.date,orders.0.amount,orders.0.products.0,orders.0.products.1
user0@example.com,cm0,User 0,1234567890,m,1990,1,1,City 0,ORD-000,2023-04-20,100,shirt,shirt
user1@example.com,cm1,User 1,1234567891,f,1991,2,2,City 1,ORD-001,2023-04-20,200,shirt,shirt
user2@example.com,cm2,User 2,1234567892,m,1992,3,3,City 2,ORD-002,2023-04-20,300,shirt,shirt
user3@example.com,cm3,User 3,1234567893,f,1993,4,4,City 3,ORD-003,2023-04-20,400,shirt,shirt
user4@example.com,cm4,User 4,1234567894,m,1994,5,5,City 4,ORD-004,2023-04-20,500,shirt,shirt
user5@example.com,cm5,User 5,1234567895,f,1995,6,6,City 5,ORD-005,2023-04-20,600,shirt,shirt
user6@example.com,cm6,User 6,1234567896,m,1996,7,7,City 6,ORD-006,2023-04-20,700,shirt,shirt
user7@example.com,cm7,User 7,1234567897,f,1997,8,8,City 7,ORD-007,2023-04-20,800,shirt,shirt
user8@example.com,cm8,User 8,1234567898,m,1998,9,9,City 8,ORD-008,2023-04-20,900,shirt,shirt
user9@example.com,cm9,User 9,1234567899,f,1999,10,10,City 9,ORD-009,2023-04-20,1000,shirt,shirt
user10@example.com,cm10,User 10,2234567890,m,2000,11,11,City 10,ORD-010,2023-04-20,1100,shirt,shirt
user11@example.com,cm11,User 11,2234567891,f,2001,12,12,City 11,ORD-011,2023-04-20,1200,shirt,shirt
user12@example.com,cm12,User 12,2234567892,m,2002,1,13,City 12,ORD-012,2023-04-20,1300,shirt,shirt
user13@example.com,cm13,User 13,2234567893,f,2003,2,14,City 13,ORD-013,2023-04-20,1400,shirt,shirt
user14@example.com,cm14,User 14,2234567894,m,2004,3,15,City 14,ORD-014,2023-04-20,150,shirt,shirt

