email,client_member_id,name,cellphone,gender,birthday_year,birthday_month,birthday_date,city
member1@gmail.com,100,member100,0993012345,m,1980,1,1,Taipei
member2@gmail.com,101,member101,0993023456,f,1981,2,2,Taipei
member3@gmail.com,102,member102,0993034567,n,1982,3,3,Taipei
member4@gmail.com,103,member103,0993045678,m,1983,4,4,Taipei
member5@gmail.com,104,member104,0993056789,f,1984,5,5,Taipei
member6@gmail.com,105,member105,0993067890,n,1985,6,6,Taipei
member7@gmail.com,106,member106,0993078901,m,1986,7,7,Taipei
member8@gmail.com,107,member107,0993089012,f,1987,8,8,Taipei
member9@gmail.com,108,member108,0993090123,n,1988,9,9,Taipei
member10@gmail.com,109,member109,0993101234,m,1989,10,10,Taipei
member11@gmail.com,110,member110,0993112345,f,1990,11,11,Taipei
member12@gmail.com,111,member111,0993123456,n,1991,12,12,Taipei
member13@gmail.com,112,member112,0993134567,m,1992,1,13,Taipei
member14@gmail.com,113,member113,0993145678,f,1993,2,14,Taipei
member15@gmail.com,114,member114,0993156789,n,1994,3,15,Taipei
member16@gmail.com,115,member115,0993167890,m,1995,4,16,Taipei
member17@gmail.com,116,member116,0993178901,f,1996,5,17,Taipei
member18@gmail.com,117,member117,0993189012,n,1997,6,18,Taipei
member19@gmail.com,118,member118,0993190123,m,1998,7,19,Taipei
member20@gmail.com,119,member119,0993201234,f,1999,8,20,Taipei

